rejectionReason,count
engine_thrust_outside_benchmark,3564
landing_margin_below_min,43
landing_margin_below_min;engine_thrust_outside_benchmark,1188
landing_margin_below_min;takeoff_margin_below_min;thrust_margin_below_min,116
landing_margin_below_min;thrust_margin_below_min,23
span_outside_benchmark;wing_area_outside_benchmark,51
span_outside_benchmark;wing_area_outside_benchmark;cd0_outside_benchmark,441
span_outside_benchmark;wing_area_outside_benchmark;engine_thrust_outside_benchmark,963
span_outside_benchmark;wing_area_outside_benchmark;engine_thrust_outside_benchmark;cd0_outside_benchmark,1389
span_outside_benchmark;wing_area_outside_benchmark;engine_thrust_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark,8384
span_outside_benchmark;wing_area_outside_benchmark;engine_thrust_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark;tail_to_wing_area_outside_benchmark,5619
span_outside_benchmark;wing_area_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark,1164
span_outside_benchmark;wing_area_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark;tail_to_wing_area_outside_benchmark,320
takeoff_margin_below_min;thrust_margin_below_min,307
takeoff_margin_below_min;thrust_margin_below_min;wing_area_outside_benchmark,41
thrust_margin_below_min,78
thrust_margin_below_min;span_outside_benchmark;wing_area_outside_benchmark,16
thrust_margin_below_min;span_outside_benchmark;wing_area_outside_benchmark;cd0_outside_benchmark,329
thrust_margin_below_min;span_outside_benchmark;wing_area_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark,730
thrust_margin_below_min;span_outside_benchmark;wing_area_outside_benchmark;ld_outside_benchmark;cd0_outside_benchmark;tail_to_wing_area_outside_benchmark,36
thrust_margin_below_min;wing_area_outside_benchmark,127
wing_area_outside_benchmark,252
wing_area_outside_benchmark;engine_thrust_outside_benchmark,1584
